,fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
10,ALVE NORD,Recovery strategy,The field will be produced by pressure depletion.,42002483,12.08.2023,02.04.2024
11,ALVE NORD,Reservoir,"The reservoirs contain oil and gas in the Lower Jurassic Båt Group and the Middle Jurassic Fangst Group, and gas in the Early Cretaceous Lange Formation. The Lange Formation reservoir is at a depth of 3000 metres and the Jurassic reservoirs at about 3600-4000 metres. The reservoir properties are varying.",42002483,09.12.2023,02.04.2024
12,ALVE NORD,Development,"Alve Nord is a field in the northern part of the Norwegian Sea, 40 kilometres northeast of the Skarv field. The water depth is 380 metres. Alve Nord was discovered in 2011, and the plan for development and operation (PDO) was approved in June 2023. The development concept includes a subsea template with two production wells tied-back to the Skarv floating, production, storage and offloading vessel (FPSO).",42002483,09.12.2023,02.04.2024
13,ALVE NORD,Transport,The gas will be exported via the Åsgard Transport System (ÅTS) to the terminal at Kårstø. Oil and condensate will be offloaded from the Skarv FPSO to shuttle tankers.,42002483,09.12.2023,02.04.2024
14,ALVE NORD,Status,Alve Nord is being developed together with Ørn and Idun Nord as part of the Skarv Satellite Project (SSP). The production is planned to start in 2027.,42002483,12.08.2023,02.04.2024
15,ALVHEIM,Recovery strategy,The field is produced by natural water drive from an underlying aquifer.,2845712,28.02.2023,02.04.2024
16,ALVHEIM,Transport,The oil is stabilised and stored on the Alvheim FPSO before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.,2845712,28.02.2023,02.04.2024
17,ALVHEIM,Reservoir,"Alvheim produces oil and gas from Paleocene sandstone in the Hermod and Heimdal Formations. The reservoirs are located in submarine fan deposits and injectites, mostly at depths of 2100-2200 metres. The reservoir quality is good.",2845712,13.12.2023,02.04.2024
18,ALVHEIM,Status,"Due to greater in-place volumes and longer infill wells, Alvheim has had a significant increase in the estimated recoverable volumes of oil and gas since the PDO. Kobra East and Gekko have been put into production in 2023, and will contribute to increased production levels at Alvheim. Tie-back of the Tyrving field to the Alvheim FPSO is under development.",2845712,13.12.2023,02.04.2024
19,ALVHEIM,Development,"Alvheim is a field in the central part of the North Sea, ten kilometres west of the Heimdal field and near the border to the UK sector. The field includes the six discoveries Kameleon, Boa, Kneler, Viper, Kobra and Gekko. Boa lies partly in the UK sector. The water depth is 120-130 metres. Alvheim was discovered in 1998, and the plan for development and operation (PDO) was approved in 2004. The field is developed with subsea wells tied to a production, storage and offloading vessel, Alvheim FPSO. The production started in 2008. The Vilje, Volund, Bøyla and Skogul fields are tied-back to the Alvheim FPSO. In 2022, a PDO for the development of the accumulations Kobra East and Gekko was approved.",2845712,13.12.2023,02.04.2024
20,ATLA,Transport,The well stream was transported via the Skirne/Byggve subsea facility to Heimdal for processing and export.,21106284,16.08.2023,02.04.2024
21,ATLA,Reservoir,Atla produced gas from Middle Jurassic sandstone in the Brent Group. The reservoir is at a depth of 2700 metres and has good quality.,21106284,09.12.2023,02.04.2024
22,ATLA,Status,"Atla was shut down in June 2023, and decommissioning is ongoing.",21106284,19.08.2023,02.04.2024
23,ATLA,Development,"Atla is a field in the central part of the North Sea, 20 kilometres northeast of the Heimdal field. The water depth is 120 metres. Atla was discovered in 2010, and the plan for development and operation (PDO) was approved in 2011. The field was developed with one production well which was connected to a subsea facility and was tied-back to Heimdal via the Skirne field. The production started in 2012.",21106284,09.12.2023,02.04.2024
24,ATLA,Recovery strategy,The field was produced by pressure depletion.,21106284,16.08.2023,02.04.2024
25,BALDER,Development,"Balder is a field in the central part of the North Sea, just west of the Grane field. The water depth is 125 metres. Balder was discovered in 1967, and the initial plan for development and operation (PDO) was approved in 1996. The production started in 1999. The field has been developed with subsea wells tied-back to the Balder production, storage and offloading vessel (FPSO). The Ringhorne deposit, located nine kilometres north of the Balder FPSO, is included in the Balder complex. Ringhorne is developed with a combined accommodation, drilling and wellhead facility, tied-back to the Balder FPSO and Jotun FPSO for processing, crude oil storage and gas export. The nearby field Ringhorne Øst is also tied-back to Balder via the Ringhorne platform. The PDO for Ringhorne Jura was approved in 2000, and the production started in 2003. The Ringhorne Vest PDO exemption was approved in 2003, and the production started in 2004. An amended PDO for Ringhorne was approved in 2007.",43562,13.12.2023,02.04.2024
26,BALDER,Status,"A revised PDO for Balder and Ringhorne was approved in 2020. The development plan includes lifetime extension and relocation of the Jotun FPSO, and drilling of new subsea wells. The Jotun FPSO is currently at a shipyard undergoing maintenance and upgrades. It is scheduled to be back on the field in 2024. Until then, excess gas is being injected in the Balder and Ringhorne Øst fields. Another ongoing project is aiming to utilise the available infrastructure in the area to maximise the recovery from the field.",43562,24.02.2024,02.04.2024
27,BALDER,Transport,The oil is transported by tankers. Excess gas from Balder and Ringhorne is exported from the Jotun FPSO through the Statpipe system to Kårstø and from there on to continental Europe.,43562,28.02.2023,02.04.2024
28,BALDER,Recovery strategy,"Balder and Ringhorne produce primarily by natural aquifer drive, but reinjection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira Formation. Gas is also reinjected if the gas export system is down.",43562,28.02.2023,02.04.2024
29,BALDER,Reservoir,"Balder, including Ringhorne, produces oil from several separate deposits in sandstone of Jurassic, Paleocene and Eocene age. Balder produces from the Heimdal and Hermod Formations as well as from the injected sand complex above them. Ringhorne produces from the Hugin, Ty and Hermod Formations. The reservoirs are of good to very good quality. The Balder reservoir is at a depth of 1700 metres and the Ringhorne reservoir at a depth of 1,900 metres.",43562,12.12.2023,02.04.2024
30,BAUGE,Reservoir,"The main reservoirs contain oil in Lower and Middle Jurassic sandstone in the Tilje and Ile Formations, at a depth of 2700 metres. They are segmented and have moderate quality.",29446221,12.12.2023,02.04.2024
31,BAUGE,Status,The production has been lower than expected.,29446221,12.12.2023,02.04.2024
32,BAUGE,Recovery strategy,The field is produced by pressure depletion. Pressure maintenance with water injection is planned to start few years after production start-up.,29446221,19.04.2023,02.04.2024
33,BAUGE,Development,"Bauge is a field on the Halten bank in the southern Norwegian Sea, 15 kilometres east of the Njord field. The water depth is 280 metres. Bauge was discovered in 2013, and the plan for development and operation (PDO) was approved in 2017. The field is developed with two production wells tied-back to the Njord A facility and a water injection well drilled from the subsea template on the Hyme field. The production started in April 2023.",29446221,12.12.2023,02.04.2024
34,BAUGE,Transport,"The well stream is transported to the Njord A platform for processing. Produced oil is transported by pipeline to the storage vessel Njord B, and further by tankers to the market. Gas from the field is exported by pipeline via the Åsgard Transport System (ÅTS) and further to the Kårstø terminal.",29446221,19.04.2023,02.04.2024
35,BERLING,Status,The field is under development and the production is planned to start in 2028.,42002473,12.08.2023,02.04.2024
36,BERLING,Reservoir,Berling contains gas and condensate. The Berling Garn reservoir is in the Middle Jurassic Garn Formation. It is at a depth of 4100 metres and has high pressure and high temperature (HPHT). The reservoir is structurally complex and has varying reservoir quality. The Berling Breiflabb reservoir is in intra-Lange Formation turbidite sandstone of Late Cretaceous age at a depth of 3900 metres.,42002473,14.12.2023,02.04.2024
37,BERLING,Development,"Berling is a field on the Halten Terrace in the Norwegian Sea, 20 kilometres west of the Åsgard field. Berling consists of two accumulations, Berling Garn and Berling Breiflabb. The water depth is 280 metres. Berling was discovered in 2018, and the plan for development and operation (PDO) was approved in June 2023. The development concept includes a subsea template with four slots tied-back to the Åsgard B facility.",42002473,14.12.2023,02.04.2024
38,BERLING,Transport,The well stream will be transported by pipeline to Åsgard B for processing. Condensate will be transferred to Åsgard A and Åsgard C for storage and export by shuttle tankers to the market. The rich gas will be transported via the Åsgard Transport System (ÅTS) for further processing at the Kårstø terminal.,42002473,14.12.2023,02.04.2024
39,BERLING,Recovery strategy,The field will be produced by pressure depletion.,42002473,12.08.2023,02.04.2024
40,BLANE,Recovery strategy,"Until 2019, the field was produced with pressure support from injection of produced water from the Blane, Tambar and Ula fields. The field is now produced by pressure depletion. In addition, gas lift is used in the wells.",3437650,28.02.2023,02.04.2024
41,BLANE,Reservoir,Blane produces oil from Paleocene sandstone in the Forties Formation. The reservoir is at a depth of 3100 metres and has moderate to good quality.,3437650,09.12.2023,02.04.2024
42,BLANE,Status,"Production from the field has generally been good, but the water cut is increasing. The production is restricted by oil-in-water limits and technical problems.",3437650,09.12.2023,02.04.2024
43,BLANE,Transport,The well stream is transported by pipeline to the Ula field for processing. The oil is exported further to Teesside in the UK.,3437650,28.02.2023,02.04.2024
44,BLANE,Development,"Blane is a field in the southern part of the Norwegian sector in the North Sea, 35 kilometres southwest of the Ula field. The field is located on the border to the UK sector and the Norwegian share of the field is 18 per cent. The water depth is 70 metres. Blane was discovered in 1989, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the British continental shelf with two horizontal production wells tied-back to the Ula field. The production started in 2007.",3437650,13.12.2023,02.04.2024
45,BRAGE,Recovery strategy,The recovery strategy in the Statfjord and Brent Groups and Fensfjord Formation is water injection. The Brent Group had earlier been produced by water alternating gas (WAG) injection. The Sognefjord Formation is produced by depletion with pressure support from the aquifer.,43651,13.12.2023,02.04.2024
46,BRAGE,Reservoir,"Brage produces oil from sandstone of Early Jurassic age in the Statfjord Group, and sandstone of Middle Jurassic age in the Brent Group and the Fensfjord Formation. There is also oil and gas in Upper Jurassic sandstone in the Sognefjord Formation. The reservoirs are at depths of 2000-2300 metres. The reservoir quality varies from poor to excellent.",43651,13.12.2023,02.04.2024
47,BRAGE,Transport,The oil is transported by pipeline to the Oseberg field and further through the Oseberg Transport System (OTS) pipeline to the Sture terminal. A gas pipeline is tied-back to Statpipe.,43651,28.02.2023,02.04.2024
48,BRAGE,Development,"Brage is a field in the northern part of the North Sea, ten kilometres east of the Oseberg field. The water depth is 140 metres. Brage was discovered in 1980, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an integrated production, drilling and accommodation facility with a steel jacket. The production started in 1993. A PDO for Brage Sognefjord was approved in 1998. PDO exemptions were granted for the Brent Ness, Bowmore Brent and Talisker East Brent accumulations in 2004, 2007 and 2022, respectively.",43651,13.12.2023,02.04.2024
49,BRAGE,Status,"Brage has been producing for a long time, and work is still ongoing to find new ways of increasing recovery from the field. New wells are being drilled.",43651,28.02.2023,02.04.2024
50,BREIDABLIKK,Status,The field startet production in October 2023.,38702206,21.10.2023,02.04.2024
51,BREIDABLIKK,Recovery strategy,"The field is produced by pressure depletion, assisted by gas lift in the production wells.",38702206,21.10.2023,02.04.2024
52,BREIDABLIKK,Reservoir,"The main reservoirs contain oil in Paleocene sandstone in the Heimdal Formation, at a depth of 1700 metres. The reservoirs have good quality, with little variation in reservoir properties. Above the Heimdal Formation, oil is present in a sand injectite complex in shales of Paleocene and Eocene age in the Lista, Sele and Balder Formations.",38702206,28.02.2023,02.04.2024
53,BREIDABLIKK,Transport,The oil is transported from Grane to the onshore terminal at Sture for storage and export.,38702206,21.10.2023,02.04.2024
54,BREIDABLIKK,Development,"Breidablikk is a field in the central part of the North Sea, ten kilometers northeast of the Grane field. The water depth is 130 metres. Breidablikk includes two discoveries, D-structure and F-structure, discovered in 1992 and 2013, respectively. The plan for development and operation (PDO) was approved in 2021. The field is developed with four subsea templates tied-back to the Grane platform.",38702206,21.10.2023,02.04.2024
55,BRYNHILD,Status,"Brynhild was shut down in 2018, and the subsea template was removed in 2021.",21123063,09.12.2023,02.04.2024
56,BRYNHILD,Development,"Brynhild is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres from the UK sector and 55 kilometres northwest of the Ula field. The water depth is 80 metres. Brynhild was discovered in 1992, and the plan for development and operation (PDO) was approved in 2011. The development concept was a subsea template including four wells, tied-in to the Haewene Brim production, storage and offloading vessel (FPSO) located on the Pierce field in the British sector. The production started in 2014.",21123063,09.12.2023,02.04.2024
57,BRYNHILD,Reservoir,"Brynhild produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir is at a depth of 3300 metres, and the reservoir conditions are close to high pressure, high temperature (HPHT) conditions.",21123063,09.12.2023,02.04.2024
58,BRYNHILD,Recovery strategy,The field was produced by pressure support from water injection. Water for injection was supplied from the Pierce field. ,21123063,28.02.2023,02.04.2024
59,BRYNHILD,Transport,"The well stream was transported by pipeline to the Haewene Brim FPSO for processing. The processed oil was exported by shuttle tankers to the market, and gas was reinjected into the Pierce field. ",21123063,28.02.2023,02.04.2024
60,BYRDING,Development,"Byrding is a field in the northern part of the North Sea, four kilometres north of the Fram H-Nord field and 30 kilometres north of the Troll C facility. The water depth is 360 metres. Byrding was discovered in 2005, and the plan for development and operation (PDO) was approved in 2017. The development concept is a two-branch multilateral (MLT) well drilled from the Fram H-Nord template. The production started in 2017.",28975067,13.12.2023,02.04.2024
61,BYRDING,Recovery strategy,The field is produced by pressure depletion.,28975067,28.02.2023,02.04.2024
62,BYRDING,Reservoir,Byrding produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir is at a depth of 3050 metres. It is structurally complex and has good reservoir quality.,28975067,13.12.2023,02.04.2024
63,BYRDING,Status,There has been no production from Byrding in 2023. A recompletion of the well is planned for 2024 to put it back in production.,28975067,13.12.2023,02.04.2024
64,BYRDING,Transport,"The well stream is routed through Fram Vest to Troll C for processing. The oil is transported further in the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via Troll A to the Kollsnes terminal.",28975067,13.12.2023,02.04.2024
65,BØYLA,Reservoir,Bøyla produces oil from sandstone of late Paleocene to early Eocene age in the Hermod Formation. The reservoir is of good quality and lies in a channelised submarine fan system at a depth of 2100 metres.,22492497,13.12.2023,02.04.2024
66,BØYLA,Recovery strategy,The field is produced with pressure support from water injection. Gas lift is also necessary to support flow in the wells.,22492497,28.02.2023,02.04.2024
67,BØYLA,Development,"Bøyla is a field in the central part of the North Sea, 28 kilometres south of the Alvheim field. The water depth is 120 metres. Bøyla was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a subsea template including two horizontal production wells and one water injection well. The field is tied-back to the Alvheim production, storage and offloading vessel (FPSO). The production started in 2015. Test production from the nearby discovery 24/9-12 S (Frosk) started in 2019 and provided the basis for a PDO approved in 2022 for including Frosk in the Bøyla field.",22492497,13.12.2023,02.04.2024
68,BØYLA,Status,Production from the Bøyla wells is decreasing and the wells are produced alternating with the Frosk wells.,22492497,13.12.2023,02.04.2024
69,BØYLA,Transport,"The well stream is transported by pipeline to the Alvheim FPSO, where the oil is stabilised and stored before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.",22492497,28.02.2023,02.04.2024
70,COD,Development,"Cod is a field in the southern part of the Norwegian sector in the North Sea, 75 kilometres northwest of the Ekofisk field. The water depth is 75 metres. Cod was discovered in 1968, and the plan for development and operation (PDO) was approved in 1973. The field was developed with a combined drilling, production and accommodation facility. The production started in 1977.",43785,09.12.2023,02.04.2024
71,COD,Status,"Cod was shut down in 1998, and the facility was removed in 2013. ",43785,09.12.2023,02.04.2024
72,COD,Recovery strategy,The field was produced by pressure depletion.,43785,28.02.2023,02.04.2024
73,COD,Reservoir,The Cod field produced gas and condensate from deep-marine turbiditic sandstone of Paleocene age in the Forties Formation. Cod has a complex structure with several separate reservoirs at a depth of 3000 metres.,43785,09.12.2023,02.04.2024
74,COD,Transport,The well stream was sent via pipeline to the Ekofisk Complex for export.,43785,28.02.2023,02.04.2024
75,DRAUGEN,Transport,The oil is offloaded via a floating loading-buoy and exported by tankers. The gas is transported via the Åsgard Transport System (ÅTS) to the Kårstø terminal.,43758,13.12.2023,02.04.2024
76,DRAUGEN,Reservoir,Draugen produces oil from two formations. The main reservoir is in sandstone of Late Jurassic age in the Rogn Formation. The western part of the field also produces from sandstone of Middle Jurassic age in the Garn Formation. The reservoirs are at a depth of 1600 metres. They are relatively homogeneous and have good quality.,43758,13.12.2023,02.04.2024
77,DRAUGEN,Status,"Several projects are ongoing to enable future profitable production from Draugen, such as power from shore, lifetime extension and subsea pump upgrade. The Hasselmus well was put on stream in 2023, and now provides sufficient gas for both power generation and gas export. Two observation wells were drilled in 2023.",43758,13.12.2023,02.04.2024
78,DRAUGEN,Development,"Draugen is a field in the southern part of the Norwegian Sea. The water depth is 250 metres. Draugen was discovered in 1984, and the plan for development and production (PDO) was approved in 1988. The field has been developed with a concrete fixed facility and integrated topside, and has both platform and subsea wells. Stabilised oil is stored in tanks at the base of the facility. Two pipelines connect the facility to a floating loading-buoy. The production started in 1993. A PDO exemption for the subsea tie-back of the discovery 6407/9-9 (Hasselmus) was granted in 2021.",43758,13.12.2023,02.04.2024
79,DRAUGEN,Recovery strategy,"The main production mechanism is natural pressure support from the aquifer, with additional water injection from the south.",43758,13.12.2023,02.04.2024
80,DUVA,Transport,"The well stream is routed to the Gjøa platform for processing and export. The oil is transported further through the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via the Far North Liquids and Associated Gas System (FLAGS) pipeline to St Fergus in the UK.",34833026,28.02.2023,02.04.2024
81,DUVA,Recovery strategy,The Field is produced by pressure depletion and gas expansion in the gas cap.,34833026,28.02.2023,02.04.2024
82,DUVA,Reservoir,The reservoir contains oil and gas in turbiditic sandstone of Early Cretaceous age in the Agat Formation. It is at a depth of 2200 metres and has good quality.,34833026,13.12.2023,02.04.2024
83,DUVA,Development,"Duva is a field in the northern part of the North Sea, six kilometres northeast of the Gjøa field. The water depth is 350 metres. Duva was discovered in 2016, and the plan for development and operation (PDO) was approved in 2019. Duva is developed with a 4-slot subsea template including three oil production wells and one gas production well tied-back to the Gjøa platform. The production started in 2021.",34833026,13.12.2023,02.04.2024
84,DUVA,Status,"Production in 2023 has been higher than anticipated, due to additional processing capacity available at the Gjøa platform.",34833026,13.12.2023,02.04.2024
85,DVALIN,Recovery strategy,The field is produced by pressure depletion.,29393934,28.02.2023,02.04.2024
86,DVALIN,Development,"Dvalin is a field in the central part of the Norwegian Sea, 15 kilometres northwest of the Heidrun field. It consists of three separate structures: Dvalin East, West and North that were proven in 2010, 2012 and 2021, respectively. The water depth is between 340 and 400 metres. The plan for development and production (PDO) of the East and West structures was approved in 2017. The development concept is a subsea template with four production wells tied-back to the Heidrun platform. The production started in 2020. A PDO for Dvalin North was approved in June 2023, and includes a subsea template with three production wells.",29393934,13.12.2023,02.04.2024
87,DVALIN,Status,"The production from Dvalin, which was put on hold due to high mercury content, started again in July 2023 after a mercury removal solution for the export gas was installed at Nyhamna.",29393934,16.08.2023,02.04.2024
88,DVALIN,Transport,The well stream is transported via pipeline to Heidrun for processing at a dedicated gas processing module. The gas is exported via Polarled to Nyhamna and then via Gassled to the market.,29393934,13.12.2023,02.04.2024
89,DVALIN,Reservoir,"Dvalin contains gas in Middle Jurassic sandstone in the Ile and Garn Formations. The reservoirs are at a depth of 4500 metres and have high pressure and high temperature (HPHT). The homogeneous shallow marine Garn sandstone has good reservoir quality, while the more heterogeneous and fine-grained Ile sandstone has less favourable reservoir properties.",29393934,13.12.2023,02.04.2024
90,EDDA,Reservoir,"Edda produced oil from Maastrichtian and lower Paleocene chalk. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3100 metres.",43541,09.12.2023,02.04.2024
91,EDDA,Status,"Edda was shut down in 1998, and the facility was removed in 2012.",43541,09.12.2023,02.04.2024
92,EDDA,Transport,The well stream was sent via pipeline to the Ekofisk Complex for export.,43541,28.02.2023,02.04.2024
93,EDDA,Recovery strategy,"The field was produced with pressure depletion. Starting in 1988, gas from the Tommeliten Gamma field was transported to Edda and used for gas lift in the wells.",43541,28.02.2023,02.04.2024
94,EDDA,Development,"Edda is a field in the southern part of the Norwegian sector in the North Sea, 12 kilometres southwest of the Ekofisk field. The water depth is 70 metres. Edda was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with a manned wellhead and production facility and started production in 1979.",43541,28.02.2023,02.04.2024
95,EDVARD GRIEG,Reservoir,"Edvard Grieg produces undersaturated oil from alluvial, aeolian and shallow marine sandstone and conglomerate of Late Triassic to Early Cretaceous age. The reservoir is at a depth of 1900 metres. The eservoir quality varies from moderate to very good in marine and aeolian sandstone, while the quality is poorer in alluvial sandstone and conglomerate. Oil is also proven in the underlying basement.",21675433,13.12.2023,02.04.2024
96,EDVARD GRIEG,Transport,"The oil is exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) system in the UK.",21675433,28.02.2023,02.04.2024
97,EDVARD GRIEG,Status,Edvard Grieg production went off plateau in 2023. The field has been producing better than expected and the recoverable volumes have increased significantly since the PDO due to excellent reservoir performance. Two infill campaigns were finished in 2021 and 2023. Test production from the Troldhaugen discovery started in 2021 and has continued in 2023.,21675433,13.12.2023,02.04.2024
98,EDVARD GRIEG,Recovery strategy,The field is produced by pressure support from water injection.,21675433,28.02.2023,02.04.2024
99,EDVARD GRIEG,Development,"Edvard Grieg is a field in the Utsira High area in the central North Sea, 35 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Edvard Grieg was discovered in 2007, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a fixed installation with a steel jacket and full process facility, and it utilises a jack-up rig for drilling and completion of wells. The production started in 2015. The Edvard Grieg installation supplies power to the Ivar Aasen field and processes the well stream from Ivar Aasen. The Solveig field is tied-back to Edvard Grieg. The Troldhaugen discovery is temporarily tied-back to Edvard Grieg for test production.",21675433,13.12.2023,02.04.2024
100,EIRIN,Transport,The well stream will be routed by pipeline to the Gina Krog facility for final processing and further transport.,42002492,19.01.2024,02.04.2024
101,EIRIN,Development,"Eirin is a field in the central North Sea, ten kilometres northwest of the Gina Krog field. The water depth is 120 metres. Eirin was discovered in 1978, and the plan for development and operation (PDO) was approved in January 2024. The development concept includes a subsea template with two wells tied-back to the Gina Krog platform.",42002492,19.01.2024,02.04.2024
102,EIRIN,Status,"The field is under development, and the production is planned to start in 2025.",42002492,19.01.2024,02.04.2024
103,EIRIN,Reservoir,The reservoirs contain gas in the Skagerrak Formation of Middle to Late Triassic age and in the Hugin Formation of Middle Jurassic age. The reservoirs are at depths of 3880 to 3950 metres and have varying properties.,42002492,19.01.2024,02.04.2024
104,EIRIN,Recovery strategy,The field will be produced by pressure depletion.,42002492,19.01.2024,02.04.2024
105,EKOFISK,Transport,"Oil and gas are routed to export pipelines via the processing facility at Ekofisk J. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43506,28.02.2023,02.04.2024
106,EKOFISK,Development,"Ekofisk is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ekofisk was discovered in 1969, and the initial plan for development and operation (PDO) was approved in 1972. Test production was initiated in 1971 and ordinary production started in 1972. The production was initially routed to tankships until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including facilities for associated fields and export pipelines. Several of the initial facilities have already been removed or are awaiting decommissioning. The initial field development started with three production platforms: Ekofisk A, Ekofisk B and Ekofisk C. Wellhead platform Ekofisk X and process platform Ekofisk J were installed in 1996 and 1998, respectively, as part of the Ekofisk II project. In 2005, wellhead platform Ekofisk M was installed as part of the Ekofisk Growth Project. A plan for water injection at Ekofisk was approved in 1983. Ekofisk K, which is the main injection facility, started water injection in 1987 and is still in operation. There had also been water injection at Ekofisk W from 1989 until 2009, when Ekofisk W was shut down and replaced by a subsea template, Ekofisk VA. A PDO for the development of Ekofisk South was approved in 2011. The project included two new installations in the southern part of the field: production platform Ekofisk Z and a subsea template for water injection, Ekofisk VB. Injection from Ekofisk VB and production from Ekofisk Z started in 2013. The accommodation facilities Ekofisk H and Ekofisk Q were replaced by Ekofisk L in 2014. An amended PDO for an additional water injection template, Ekofisk VC, was approved in 2017.",43506,13.12.2023,02.04.2024
107,EKOFISK,Recovery strategy,"Ekofisk was originally produced by pressure depletion and had an expected recovery factor of 17 per cent. Since then, comprehensive water injection has contributed to a substantial increase in oil recovery. Large-scale water injection started in 1987, and in subsequent years, the area for water injection has been extended in several phases. Experience has proven that water displaces the oil much more effectively than anticipated, and the expected final recovery factor for Ekofisk is now estimated to be over 50 per cent. In addition to the water injection, compaction of the soft chalk provides extra force to drainage of the field. The reservoir compaction has resulted in about 10 metres subsidence of the seabed, especially in the central part of the field. It is expected that the subsidence will continue, but at a much lower rate.",43506,28.02.2023,02.04.2024
108,EKOFISK,Status,"The production from Ekofisk is maintained at a high level through continuous water injection, drilling of production and injection wells, and well interventions. Water injection is extended in the southern part of the field. Key challenges are identifying the remaining oil pockets in a mature, waterflooded reservoir, as well as handling the increasing volumes of produced water. Infill drilling on Ekofisk is expected to continue throughout the lifetime of the field. Various drilling methods are being studied to reduce drilling costs, for example coiled tubing drilling. In 2022, the production licence 018, which includes the Ekofisk field, was extended until 2048.",43506,13.12.2023,02.04.2024
109,EKOFISK,Reservoir,"Ekofisk produces oil from naturally fractured chalk of Late Cretaceous age in the Tor Formation and early Paleocene age in the Ekofisk Formation. The reservoir rock has high porosity, but low permeability. The reservoir has an oil column of more than 300 metres and is at a depth of 3000 metres.",43506,13.12.2023,02.04.2024
110,ELDFISK,Reservoir,"Eldfisk produces oil from chalk of Late Cretaceous and early Paleocene age in the Hod, Tor and Ekofisk Formations. The reservoir rock has high porosity, but low permeability. Natural fracturing allows the reservoir fluids to flow more easily. The field consists of three structures: Alpha, Bravo and Eldfisk Øst. The reservoirs are at depths of 2700-2900 metres.",43527,13.12.2023,02.04.2024
