field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
GJØA,37,NORTH,producing,gas/oil,153,Vår Energi ASA,False,"The reservoirs contain gas above a relatively thin oil zone in sandstone of Jurassic age in the Dunlin, Brent and Viking Groups. The field comprises several tilted fault segments with partly uncertain communication and variable reservoir quality. The reservoir depth is 2200 metres.","Gjøa is a field in the northern part of the North Sea, 50 kilometres northeast of the Troll field. The water depth is 360 metres. Gjøa was discovered in 1989, and the plan for development and operation (PDO) was approved in 2007. The field comprises several segments. Gjøa is developed with a semi-submersible production facility and includes five 4-slot templates. The field is partly supplied with power from shore. The production started in 2010. In 2019, Gjøa was granted a PDO exemption for the redevelopment of the P1 segment, including a 4-slot template. The Vega, Duva and Nova fields are tied-back to Gjøa.","Dunlin, Brent and Viking",Brent,clastic,"The field is produced by pressure depletion. In the southern segments, oil production was prioritised in the first years. Gas blow-down, production of the gas cap, started in 2015. Low pressure production was implemented in 2017.",https://factpages.sodir.no/field/pageview/all/4467574,1.0,15.94,44.78,20.05,80.76,0.16,2.36,1.18,3.7,57.3,65.8,13.2,11.0,54.8,147.3,0.48,0.372,0.278,0.51,0.6805,0.5483,0.99,0.947,0.963,0.954,1.4285,3.0784,6.0001,9.7715,13.3202,15.3274,,15.167,2010.917,1.2,20.142,4.975,2030.975,2013.0,8.035,4.15,3.886,21.0,19.0,0.0,2.0,1.0,61.35134795238096,3.968891333333333,2177.7,2310.6,2313.0,2475.0,362.7,2313.0,236.5,361.4,155.8,True,82.6,192.0,1.4940120178122358,0.0035990855841192882,85.61,197.23,282.84,0.7,43.7,134.22,177.92,140.2,3.67,6.68,788.0,4939.0,0.0
GLITNE,38,NORTH,shut down,oil/gas,1140,Equinor Energy AS,False,Glitne produced oil from sandstone of Paleocene age in the upper part of the Heimdal Formation. The reservoir is in a deep marine fan system at a depth of 2150 metres.,"Glitne is a field in the central part of the North Sea, 40 kilometres north of the Sleipner area. The water depth is 110 metres. Glitne was discovered in 1995, and the plan for development and operation (PDO) was approved in 2000. The field was developed with six horizontal production wells and one water injection well, tied-back to a production and storage vessel, Petrojarl 1. The production started in 2001.",Rogaland,Heimdal,clastic,The field was produced with pressure support from a large natural aquifer in the Heimdal Formation. Associated gas was used for gas lift in the horizontal wells until 2012.,https://factpages.sodir.no/field/pageview/all/1272071,1.0,8.88,0.0,0.0,8.88,0.0,0.0,0.0,0.0,19.7,1.2,0.0,0.0,1.2,20.9,0.94,0.057,0.451,0.451,0.0,0.4249,1.0,,1.0,1.0,0.4763,1.0942,2.3365,4.9182,7.5686,8.8686,11.5833,11.583,2001.667,0.0,,0.0,2013.167,2002.0,2.157,2.157,0.0,10.0,9.0,1.0,0.0,1.0,58.710987,1.6583411000000001,2137.0,2170.8,2151.2,2351.0,110.7,2151.2,220.0,220.0,101.8,False,77.3,114.9,1.28689533005827,0.005224471692722035,25.35,6.27,31.62,0.2,11.43,0.0,11.43,7.46,0.16,0.75,652.0,1690.0,0.0
GOLIAT,39,BARENTS,producing,oil/gas,229,Vår Energi ASA,False,"Goliat produces oil from sandstone of Triassic age in the Kobbe and Snadd Formations, and in the Kapp Toscana Group (Realgrunnen subgroup) of Triassic to Jurassic age. The reservoirs have thin gas caps and are in a complex and segmented structure at depths of 1100-1800 metres.","Goliat is a field in the Barents Sea, 50 kilometres southeast of the Snøhvit field. The water depth is 360-420 metres. Goliat was discovered in 2000, and the plan for development and operation (PDO) was approved in 2009. The field is developed with a cylindrical floating production, storage and offloading facility (Sevan 1000 FPSO). Eight subsea templates with a total of 32 well slots are tied-back to the FPSO. Production started in 2016. Goliat was granted a PDO exemption for the Snadd reservoir in 2017 and the Goliat West segment in 2020. The production from these accumulations started in 2017 and 2021, respectively.","Sassendalen, Storfjorden","Kobbe, Snadd",clastic,The field is produced using water injection as pressure support. Additional pressure support results from reinjection of produced gas.,https://factpages.sodir.no/field/pageview/all/5774394,1.0,32.1,0.0,0.0,32.1,10.28,0.0,0.0,10.28,91.2,20.4,0.0,11.0,9.4,122.6,0.74,0.077,0.352,0.352,0.0,0.2618,0.68,,0.68,0.68,0.9426,2.3639,5.7907,,,,,9.667,2016.25,,26.266,16.599,2042.599,2018.0,3.72,3.72,0.0,35.0,22.0,12.0,1.0,1.0,71.27190942857142,22.274382085714286,1074.0,1526.1,1717.0,2188.0,364.5,1717.0,175.8,175.8,101.8,False,63.3,120.6,1.28790686970774,0.006052217850330146,117.46,56.89,174.35,0.33,41.34,0.0,41.34,26.99,0.48,0.77,653.0,2174.0,0.0
GRANE,40,NORTH,producing,oil,GRANE UNIT,Equinor Energy AS,False,Grane produces oil with high viscosity mostly from Paleocene sandstone in the Heimdal Formation with very good reservoir properties. The field comprises a main structure and some additional segments with full communication. The reservoir depth is 1700 metres.,"Grane is a field in the central part of the North Sea, just east of the Balder field. The water depth is 130 metres. Grane was discovered in 1991, and the plan for development and operation (PDO) was approved in 2000. The field has been developed with an integrated accommodation, drilling and processing facility with a steel jacket and 40 well slots. The production started in 2003. The Svalin and Breidablikk fields are tied-back to the Grane platform.",Rogaland,Heimdal,clastic,"The field is produced by gas injection at the top of the structure, and horizontal production wells at the bottom of the oil zone. In 2010, Grane terminated gas import from the Heimdal gas centre, and only produced gas was reinjected into the reservoir. Gas import started up again in 2014. Grane has limited water injection. Oil recovery is maintained by gas injection and drilling of new wells, including sidetracks from existing producers.",https://factpages.sodir.no/field/pageview/all/1035937,1.0,150.78,0.0,0.0,150.78,11.66,15.53,0.0,27.19,224.0,3.32,0.0,3.32,0.0,230.64,0.97,0.0,0.673,0.673,0.0,0.6537,0.923,-inf,0.923,0.82,2.6076,4.9119,9.2819,18.0116,,,,22.583,1996.583,13.3,48.696,26.112,2052.112,2006.0,12.614,12.614,0.0,152.0,128.0,10.0,14.0,0.0,59.16524878289474,2.487355309210526,889.1,1743.1,1756.6,1813.1,127.6,1756.6,179.8,179.8,101.8,False,64.5,14.8,1.0492160064664169,0.005954840682571652,235.02,0.0,235.02,0.0,158.2,0.0,158.2,103.34,1.86,0.68,653.0,2930.0,0.0
GUDRUN,41,NORTH,producing,oil/gas,025,Equinor Energy AS,True,"Gudrun produces oil and gas from sandstone in the Upper Jurassic Draupne Formation and the Middle Jurassic Hugin Formation. The reservoir quality in the Draupe Formation, which constitutes the main recoverable resources, is in general good. The Hugin Formation has larger variation in reservoir quality. The reservoirs are at depths of 4000-4700 metres.","Gudrun is a field in the central part of the North Sea, 50 kilometres north of the Sleipner Øst field. The water depth is 110 metres. Gudrun was discovered in 1975, and the plan for development and operation (PDO) was approved in 2010. The field is developed with a steel jacket and a topside with process facility and living quarters. Gudrun is tied-back to the Sleipner A facility with two pipelines, one for oil and one for wet gas. A PDO exemption was granted for the discovery 15/3-9 in 2013. The production started in 2014.","Vestland, Viking","Draupne, Hugin",clastic,The field is produced by pressure depletion. Part of the reservoir in the Draupne Formation was previously produced with water injection. ,https://factpages.sodir.no/field/pageview/all/18116481,1.0,25.23,20.48,3.52,49.22,3.4,5.28,0.34,9.02,48.98,45.17,23.03,18.03,27.14,135.21,0.53,0.201,0.515,0.399,0.4534,0.364,0.865,0.742,0.87,0.817,1.4271,2.7048,5.2547,9.7569,,,,11.75,2014.333,3.8,25.441,13.691,2039.691,2017.0,5.689,3.674,2.016,16.0,13.0,2.0,1.0,0.0,58.845121500000005,1.74386575,836.2,3931.6,4225.2,5240.8,109.0,4225.2,431.1,785.0,185.6,True,144.6,368.1,2.0219780124493623,0.0027210468413780514,99.04,73.85,172.89,0.43,39.53,33.48,73.01,61.06,2.44,3.82,836.0,3135.0,0.0
GULLFAKS,42,NORTH,producing,oil,050,Equinor Energy AS,False,"Gullfaks produces oil from Middle Jurassic sandstone in the Brent Group, and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. Recoverable oil is also present in fractured carbonate and shale in the overlying Shetland Group and Lista Formation. The reservoirs are at depths of 1700-2000 metres in rotated fault blocks in the west and a structural horst (raised fault block) in the east, with a highly faulted area in between. Reservoir quality is generally good to very good in the Jurassic reservoirs within each fault compartment, but poor reservoir communication is a challenge for pressure maintenance.","Gullfaks is a field in the Tampen area in the northern part of the North Sea. The water depth is 130-220 metres. Gullfaks was discovered in 1978, and the plan for development and operation (PDO) for Gullfaks Phase I was approved in 1981. A PDO for Gullfaks Phase II was approved in 1985. The production started in 1986. The field has been developed with three integrated processing, drilling and accommodation facilities with concrete bases (Gullfaks A, B and C). Gullfaks B has a simplified processing plant with first stage separation. The Gullfaks facilities are involved in production and transport from Tordis, Vigdis, Snorre, Visund, Visund Sør and Brime. A PDO for Gullfaks Vest was approved in 1993, and for recovery from the Lunde Formation in 1995. An amended PDO for the Gullfaks field, covering prospects and small discoveries, which could be drilled and produced from existing facilities, was approved in 2005. Amendments to the Gullfaks PDO, covering Phase I and Phase II production from the Shetland/Lista deposit, were approved in 2015 and 2019, respectively. In 2020, an amended PDO for the development of the Hywind Tampen wind farm was approved. The wind farm consists of 11 floating turbines that started supplying electricity to the Gullfaks and Snorre platforms in 2022/2023. These fields are the first in the world receiving power from a floating wind farm.","Hegre, Statfjord, Dunlin, Brent","Cook, Lunde",clastic,"The drive mechanism for the main reservoirs is primarily water injection, with gas injection and water alternating gas injection (WAG) in some areas. Initially, the drainage strategy for the Shetland/Lista reservoir was depletion, but pressure support by water injection has now been implemented.",https://factpages.sodir.no/field/pageview/all/43686,1.0,391.15,23.08,5.38,419.6,10.65,0.0,0.0,10.65,781.42,87.04,0.0,87.04,0.0,955.5,0.82,0.0,0.501,0.507,0.2652,0.4391,0.973,1.0,0.973,0.975,4.148,6.8755,10.8494,18.2536,25.0633,34.9475,,39.083,1987.0,8.0,51.319,12.235,2038.235,1994.0,33.208,31.191,2.017,274.0,188.0,84.0,2.0,0.027,61.19615856569342,2.216214091240876,367.8,2010.9,1994.0,2923.0,158.6,1994.0,204.0,321.0,160.5,True,72.2,111.4,1.2731007748079382,0.003759328264918666,994.83,0.0,994.83,0.0,504.82,0.0,504.82,402.04,9.66,1.47,796.0,1578.0,0.0
GULLFAKS SØR,43,NORTH,producing,gas/oil,050,Equinor Energy AS,False,"The Gullfaks Sør deposits produce oil and gas from Middle Jurassic sandstone in the Brent Group and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. The reservoirs are in several rotated fault blocks at depths of 2400-3400 metres. The reservoirs in the Gullfaks Sør deposit are heavily segmented, with many internal faults and challenging flow characteristics, especially in the Statfjord Group and Lunde Formation. The other deposits in the Gullfaks Sør area have generally good reservoir quality.","Gullfaks Sør is a field in the northern part of the North Sea, just south of the Gullfaks field. The water depth is 130-220 metres. Gullfaks Sør was discovered in 1978, but comprises several discoveries made in later years. The Gullfaks Sør deposits have been developed with a total of 13 subsea templates tied-back to the Gullfaks A and Gullfaks C facilities. The initial plan for development and operation (PDO) for Gullfaks Sør Phase I was approved in 1996 and included production of oil and condensate from the Gullfaks Sør, Rimfaks and Gullveig deposits. The production started in 1998. The PDO for Phase II was approved in 1998 and included production of gas from the Brent Group in the Gullfaks Sør deposit. In 2004, the Gulltopp discovery was included in Gullfaks Sør. Gulltopp is produced through an extended reach production well from the Gullfaks A facility. A PDO for the Skinfaks discovery and Rimfaks IOR was approved in 2005. An amended PDO for the redevelopment of Gullfaks Sør Statfjord Formation with two new subsea templates was approved in 2012. A PDO for Gullfaks Rimfaksdalen, which includes the Rutil and Opal deposits, was approved in 2015. It consists of a new subsea template and four production wells. Since 2017, gas production is increased by two subsea wet gas compressors, tied-back to the Gullfaks C platform. A PDO exemption for some prospects and small discoveries, which can be drilled and produced from existing Gullfaks Sør facilities, was granted in 2018. A PDO exemption for the Opal Sør deposit was granted in 2019.","Hegre, Statfjord, Dunlin, Brent","Lunde, Cook, Brent",clastic,"The Brent reservoir in Gullfaks Sør is mainly produced by pressure depletion after gas injection ceased in 2009. Pressure support from gas injection started for the Skinfaks Sør deposit in 2023. The Lunde Formation in Gullfaks Sør is produced with depletion as well as pressure support from gas injection. Gas export from Rimfaks started in 2015, but limited gas injection was maintained in the Brent Group until 2018. The Gullveig, Gulltopp and Rutil deposits are produced by pressure depletion and partial aquifer drive. The Skinfaks deposit is produced with gas lift. The Rutil and Opal deposits are produced by pressure depletion.",https://factpages.sodir.no/field/pageview/all/43699,1.0,67.45,111.84,26.16,205.44,5.5,16.48,4.39,26.37,204.54,171.20000000000002,45.01,35.24,135.96,455.99,0.55,0.298,0.33,0.375,0.6533,0.4505,0.918,0.853,0.894,0.872,5.038,14.5985,19.7189,24.383,,,,27.25,1998.833,3.7,40.332,13.082,2039.082,2017.0,8.995,3.08,5.915,104.0,83.0,20.0,1.0,0.976,61.090669048076926,2.1434540961538464,2442.0,3230.1,3315.4,4557.0,135.1,3315.4,338.5,474.6,142.9,True,115.1,172.3,1.4743753652512346,0.0033432712697713963,301.57,454.55,756.12,0.6,113.13,296.95,410.08,312.33,9.82,3.0,762.0,3818.0,0.0
GUNGNE,44,NORTH,producing,gas,046,Equinor Energy AS,False,"Gungne produces gas and condensate mainly from sandstone in the Triassic Skagerrak Formation, with some contribution from Middle Jurassic sandstone in the Hugin Formation and Paleogene sandstone in Ty Formation. The Skagerrak Formation has generally poorer reservoir quality than the Hugin and Ty Formations. The reservoirs are at a depth of 2800 metres.","Gungne is a field in the Sleipner area in the central part of the North Sea. The water depth is 85 metres. Gungne was discovered in 1982, and the plan for development and operation (PDO) was approved in 1995. The field has been developed by three wells drilled from the Sleipner A installation. The production started in 1996. A PDO exemption was granted for the Skagerrak and Hod Formations in 2000, and for a well to the Gamma High structure in 2007.",Hegre,Skagerrak,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43464,1.0,0.39,16.5,8.61,25.5,0.04,0.17,0.02,0.22,0.0,19.62,15.47,0.0,19.62,35.09,0.44,0.559,,0.582,0.841,0.7267,,0.99,0.993,0.991,2.6412,5.9395,8.8387,12.7541,18.2993,22.6431,,29.583,1996.333,1.7,30.846,1.262,2027.262,2003.0,0.989,0.989,0.0,3.0,3.0,0.0,0.0,0.0,58.367364,1.9084636666666668,2808.2,2941.4,2939.0,3077.0,82.0,2939.0,300.2,300.2,101.8,False,102.9,,0.0,0.004439882736490272,0.0,87.11,87.11,1.0,0.0,73.26,73.26,47.65,1.23,15.88,650.0,5077.0,0.0
GYDA,45,NORTH,shut down,oil,,,False,Gyda produced oil from three reservoirs in Upper Jurassic sandstone of the Ula Formation. The reservoir depth is 4000 metres.,"Gyda is a field in the southern part of the Norwegian sector in the North Sea, between the Ula and Ekofisk fields. The water depth is 65 metres. Gyda was discovered in 1980, and the plan for development and operation (PDO) was approved in 1987. The field was developed with a combined drilling, accommodation and processing facility with a steel jacket. The production started in 1990. A PDO for Gyda Sør was approved in 1993.",Vestland,Ula,clastic,"The field was produced by water injection, as well as by pressure support from both gas cap and aquifer in parts of the field.",https://factpages.sodir.no/field/pageview/all/43492,1.0,36.23,6.2,3.63,46.06,0.0,0.0,0.0,0.0,90.2,17.8,8.9,17.8,0.0,134.7,0.74,0.0,0.402,0.402,0.3483,0.3419,1.0,1.0,1.0,1.0,1.4241,3.1172,5.7831,8.7814,14.8358,17.9564,29.75,29.75,1990.5,0.0,,0.0,2020.167,1994.0,4.696,4.221,0.475,51.0,34.0,17.0,0.0,0.0,56.90483943137255,3.0851204117647058,3682.0,4060.4,4067.0,4286.0,65.8,4067.0,415.0,603.1,148.0,True,154.4,197.3,1.5806705636014526,0.0031928480980283735,142.58,0.0,142.58,0.0,57.35,0.0,57.35,42.33,1.54,0.83,738.0,610.0,0.0
HALTEN ØST,46,NORWEGIAN,producing,gas/oil,HALTEN ØST UNIT,Equinor Energy AS,False,"The reservoirs contain gas and condensate in Jurassic sandstone in the Tilje, Ile, Garn and Melke Formations. They are located at depths between 2000 and 3000 metres. Common for all these reservoirs is that the volumes are relatively small, but the reservoir properties are excellent.","Halten Øst is a field in the Norwegian Sea, just east of the Åsgard field. It consists of six discoveries: Natalia, Sigrid, Nona, Flyndretind, Gamma and Harepus, spread out within 65 kilometres between Natalia in the north and Gamma in the south. The water depth is 200-300 metres. The plan for development and operation (PDO) was approved in 2023. The discoveries are being developed together, and the development concept includes five subsea templates tied-back to the existing infrastructure on the Åsgard field.","Båt, Fangst, Viking","Tilje, Tofte, Ile, Garn, Melke",clastic,The drainage strategy is pressure depletion with aquifer support.,https://factpages.sodir.no/field/pageview/all/42148955,1.0,2.49,8.79,3.21,14.48,2.08,7.51,2.81,12.4,2.78,16.56,5.17,0.47,16.09,24.98,0.32,0.644,0.896,0.717,0.5308,0.5797,0.165,0.146,0.142,0.144,0.9385,,,,,,,0.833,2025.25,,16.815,15.982,2041.982,2025.0,1.873,0.705,1.167,10.0,0.0,0.0,0.0,1.0,64.87415960000001,7.555819299999999,506.0,2123.0,2762.0,3415.0,264.0,2762.0,282.2,282.2,101.8,False,97.2,169.1,1.4478976159627563,0.004570857148258072,4.03,73.55,77.57,0.95,2.89,39.04,41.93,27.28,0.68,2.73,651.0,,0.0
HANZ,47,NORTH,producing,oil/gas,028 B,Aker BP ASA,False,The reservoir contains oil with a minor gas cap. It is in the Draupne Formation of Late Jurassic age at a depth of 2350 metres. It is in presumably deep marine sandstone with good reservoir properties.,"Hanz is a field in the North Sea, 12 kilometres north of the Ivar Aasen field. The water depth is 115 metres. Hanz was discovered in 1997 and the plan for development and operation (PDO) was approved as a part of the PDO for Ivar Aasen in 2013. Hanz is developed with subsea templates tied-back to Ivar Aasen. The production started in 2024. 

 ",Viking,Draupne,clastic,The field is produced by pressure support from a crossflow water injector between the Heimdal Formation aquifer and the reservoir in the Draupne Formation.,https://factpages.sodir.no/field/pageview/all/25307278,1.0,0.4,0.33,0.1,0.83,0.03,0.02,0.0,0.05,1.2,0.47,0.0,0.17,0.3,1.84,0.65,0.163,0.333,0.413,0.7021,0.4511,0.925,0.939,0.939,0.94,0.2115,0.369,0.7392,1.1678,1.7631,,,1.583,2024.333,,3.429,1.82,2027.82,2025.0,0.417,0.202,0.215,2.0,1.0,1.0,0.0,1.0,59.055642,2.2440365,2346.2,2350.7,2350.7,2355.2,115.3,2350.7,240.3,240.3,101.8,False,83.8,141.7,1.3624350244670307,0.00496625649500036,1.63,1.49,3.12,0.48,0.67,1.05,1.72,1.12,0.02,0.56,652.0,4908.0,0.0
HEIDRUN,48,NORWEGIAN,producing,oil/gas,HEIDRUN UNIT,Equinor Energy AS,False,"Heidrun produces oil and gas from Lower and Middle Jurassic sandstone in the Åre, Tilje, Ile and Garn Formations. The reservoir is at a depth of 2300 metres and is heavily faulted and segmented. The Ile and Garn Formations have good reservoir quality, while the Åre and Tilje Formations are more complex.","Heidrun is a field on Haltenbanken in the Norwegian Sea, 30 kilometres northeast of the Åsgard field. The water depth is 350 metres. Heidrun was discovered in 1985, and the plan for development and operation (PDO) was approved in 1991. The field has been developed with the world's first ever floating concrete tension-leg platform (TLP), installed over a large subsea template with 56 well slots. Six subsea templates in the southern and northern areas are additionally tied-back to the TLP. The production started in 1995. The floating storage unit (FSU) Heidrun B is permanently moored at the Heidrun platform since 2015. The PDO for the Heidrun northern flank was approved in 2000. The Maria field receives water for injection from Heidrun. The Dvalin field has a dedicated gas processing module on the Heidrun platform.","Båt, Fangst","Åre, Tilje, Ile, Garn",clastic,"The field is produced with pressure maintenance using water and gas injection in the Ile and Garn Formations. In the more complex parts of the reservoir, in the Åre and Tilje Formations, the main recovery strategy is water injection. Some segments are also produced by pressure depletion.",https://factpages.sodir.no/field/pageview/all/43771,1.0,206.12,55.84,6.36,268.33,27.1,22.56,3.78,53.45,435.81,88.31,7.6,36.61,51.7,568.33,0.78,0.091,0.473,0.479,0.6323,0.4721,0.869,0.596,0.855,0.801,2.2378,5.5776,12.4725,27.1707,,,,30.25,1995.833,12.2,60.633,30.383,2056.383,1997.0,13.783,13.456,0.326,173.0,121.0,42.0,10.0,0.231,65.33464483815028,7.323973976878612,2159.8,2495.5,2429.3,3256.8,347.5,2429.3,248.3,255.0,104.6,True,86.4,84.0,1.2181602720537184,0.004769083941581435,530.89,246.56,777.45,0.32,254.4,155.91,410.31,271.45,6.21,1.57,662.0,1346.0,0.0
HEIMDAL,49,NORTH,shut down,gas/oil,1175 B,Aker BP ASA,False,Heimdal produced gas and some condensate from sandstone of Paleocene age in the Heimdal Formation. The reservoir is in a massive turbidite system at a depth of 2100 metres and has good quality.,"Heimdal is a field in the central part of the North Sea. The water depth is 120 metres. Heimdal was discovered in 1972, and the initial plan for development and operation (PDO) was approved in 1981. The field was developed with an integrated drilling, production and accommodation facility with a steel jacket. The production started in 1985. When the Heimdal riser gas facility (Gas Centre) came into operation, Heimdal also became a hub for dry gas transport from Oseberg, in addition to processing production from fields such as Atla, Skirne, Vale, Valemon and Huldra.",Rogaland,Heimdal,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43590,1.0,6.66,46.2,0.0,52.86,0.0,0.0,0.0,0.0,10.7,61.4,0.0,0.0,61.4,72.1,0.15,0.852,0.622,0.622,0.7524,0.7331,1.0,1.0,1.0,1.0,1.7512,3.6333,7.1309,10.5001,13.1405,17.407,28.75,28.75,1986.0,0.0,,0.0,2020.5,1996.0,5.197,0.627,4.569,12.0,11.0,1.0,0.0,0.0,59.574218916666666,2.2289666666666665,2017.5,2237.6,2092.3,3365.5,120.2,2092.3,214.0,214.0,101.8,True,75.4,104.6,1.2590511893857124,0.005312972426694119,13.47,326.22,339.69,0.96,8.39,245.46,253.85,165.63,3.39,13.8,652.0,7186.0,0.0
HOD,50,NORTH,producing,oil,033,Aker BP ASA,False,"Hod produces oil from chalk in the Upper Cretaceous Tor and Hod Formations and the lower Paleocene Ekofisk Formation. The Tor Formation chalk is fine-grained and soft. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation. The reservoir depth is 2700 metres. The field consists of three structures: Hod West, Hod East and Hod Saddle.","Hod is a field in the southern part of the Norwegian sector in the North Sea, about 13 kilometres south of the Valhall field. The water depth is 72 metres. Hod was discovered in 1974, and the plan for development and operation (PDO) was approved in 1988. The field was originally developed with an unmanned wellhead platform, remotely controlled from Valhall. The production started in 1990. A PDO for Hod Saddle was approved in 1994. The production from the original platform ceased in 2013. A PDO for the redevelopment of Hod with a new unmanned wellhead platform (Hod B) tied-in to the Valhall field centre was approved in 2020.",Shetland,"Tor, Hod, Ekofisk",carbonate,The field is produced by pressure depletion. Gas lift has been used in some wells to increase production.,https://factpages.sodir.no/field/pageview/all/43485,1.0,15.67,2.44,1.23,19.35,4.0,0.53,0.21,4.73,64.3,8.6,0.0,8.6,0.0,81.5,0.79,0.0,0.244,0.263,0.2837,0.2374,0.745,0.783,0.751,0.756,1.1896,3.2927,13.5262,34.1127,,,,34.0,1990.833,6.4,46.578,12.578,2038.578,1991.0,1.816,1.614,0.202,23.0,22.0,0.0,1.0,0.0,56.18673417391304,3.457783782608696,2669.7,2783.9,2760.7,2945.4,71.4,2760.7,282.1,461.0,166.6,True,97.1,133.7,1.3547142502190626,0.003232001284981509,87.11,0.0,87.11,0.0,22.9,0.0,22.9,18.45,0.56,0.8,806.0,681.0,0.0
HUGIN,51,NORTH,approved,oil/gas,HUGIN UNIT,Aker BP ASA,False,"The reservoirs contain oil and gas in sandstone mainly of Eocene age in the Frigg Formation at a depth of 1900 metres. The Hugin reservoirs have very good reservoir and fluid properties, with a complex distribution between gas and thin oil columns.","Hugin is a field in the Yggdrasil area in the central North Sea, 20 kilometres east of the Frigg field. The water depth is 120 metres. Hugin consists of Frigg Gamma Delta and Øst Frigg. Frigg Gamma  was discovered in 1986 while Øst Frigg was discovered in 1973 and has previously been in production. The plan for development and operation (PDO) was approved in 2023. This plan included the development of Frigg Gamma Delta, Rind and Langfjellet, as well as the redevelopment of the shut-down Frøy field. Subsequent horizontal exploration wells drilled in the lower parts of the shut-down fields, Øst Frigg and Frigg, demonstrated a continuous oil column with Frigg Gamma Delta. These resources are included in Hugin. As a result, Rind (Lille Frøy), Langfjellet and Frøy were in 2026 separated from Hugin and established as the field Hugin Satellites. The development concept includes a processing facility with living quarters, Hugin A, which will serve as the field centre for the Yggdrasil area. Øst Frigg will be developed with a subsea template tied back to Hugin A.","Vestland, Hordaland","Frigg, Hugin",clastic,"Hugin will be produced with pressure depletion, and the produced water is planned to be reinjected into the water zone. The wells are designed for gas lift.",https://factpages.sodir.no/field/pageview/all/42002474,1.0,35.79,6.24,1.88,43.91,35.79,6.24,1.88,43.91,113.63,21.490000000000002,0.94,17.89,3.6,153.95,0.74,0.023,0.315,0.329,0.2904,0.2852,0.0,0.0,0.0,0.0,,,,,,,,,2028.0,,20.6,20.6,2048.6,,,,,1.0,0.0,0.0,1.0,0.0,59.861867,2.588739,1936.3,1936.3,1936.3,1936.3,120.3,1936.3,198.1,198.1,101.8,False,70.4,157.4,1.3902461222745732,0.0055797771895351725,157.97,20.09,178.06,0.11,51.94,5.83,57.77,37.7,0.73,37.7,653.0,,0.0
HULDRA,52,NORTH,shut down,gas,878,Equinor Energy AS,True,"Huldra produced gas and condensate from sandstone of Middle Jurassic age in the Brent Group. The reservoir is in a rotated fault block at a depth of 3500-3900 metres, and initially had high pressure and high temperature (HPHT). There are many small faults in the field and two main segments without pressure communication.","Huldra is a field in the northern part of the North Sea, 16 kilometres west of the Veslefrikk field. The water depth is 125 metres. Huldra was discovered in 1982, and the plan for development and operation (PDO) was approved in 1999. The field was developed with a wellhead facility, including a simple process facility, and remotely operated from Veslefrikk B. The production started in 2001.",Brent,Brent,clastic,The field was produced by pressure depletion and with low pressure production after 2007.,https://factpages.sodir.no/field/pageview/all/97002,1.0,5.21,17.24,0.21,22.67,0.0,0.0,0.0,0.0,0.0,22.7,9.3,0.0,22.7,32.0,0.29,0.709,,0.583,0.7595,0.7084,,1.0,1.0,1.0,0.7404,1.5306,2.971,6.0242,8.7041,10.2429,12.6667,12.667,2001.917,0.0,,0.0,2014.75,2003.0,4.164,1.206,2.958,6.0,6.0,0.0,0.0,0.0,60.85595733333334,2.6501898333333336,3785.0,3842.2,3848.5,3874.0,125.0,3848.5,392.8,681.0,176.7,True,132.4,,0.0,0.0028489525252909996,0.0,64.67,64.67,1.0,0.0,49.12,49.12,40.39,1.51,6.73,822.0,3998.0,0.0
