lsuName,lsuLevel,lsuNameParent,lsuDescription,IsuFactPageUrl,lsuNpdidLithoStrat,lsuNpdidLithoStratParent
BURTON FM,FORMATION,DUNLIN GP,"Burton Formation

 Name 
Named by Deegan and Scull (1977) who gave it ""sub-unit"" status. 
Well type section 
UK well 211/29-3 (Shell) from 2950.5 m to 2993 m, coord N 61°08'06"", E 01°43'36.5"", (Fig 3.10). 
Well reference section 
Norwegian well 33/9-1 (Mobil) from 2801 m to 2838 m, coord N 61°15'07.5"", E 01°50'25.8"" (Fig 3.11). 
Thickness 
42.5 m in the type well and 37 m in the reference well. 
Lithology 
In the type well it consists of a uniform development of dark grey to reddish-grey, soft non-calcareous claystone and shale, which may be in part slightly carbonaceous. 
Boundaries 
The formation is normally represented on both gamma ray and sonic logs by smooth linear almost constant readings, reflecting the lithological uniformity. The upper and lower contacts are identified where this log character changes. 
Distribution 
Although the log character changes slightly away from the type section, the formation can be recognised over a wide area of the northern North Sea. The formation has not been identified on the Horda Platform. It represents essentially a basinal facies and passes laterally into the Amundsen Formation in marginal areas. 
Age 
Sinemurian to Pliensbachian. 
Depositional environment 
The formation is believed to represent open marine basinal deposits. 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=20,20,29
BØRGLUM UNIT,FORMATION,BOKNFJORD GP,"Børglum unit

 
This unit was first described by Larsen (1966) as the Børglum Formation. Later it was amended several times, the latest being by Michelsen (1978) who redefined it and reduced it to member status. It has been informally redesignated a formation by Hamar et al. (1982).
In the type area in Jutland, Denmark, the formation is of Kimmeridgian-Volgian age and consists of homogeneous shaly claystones, olive grey to blackish grey, slightly calcareous to non-calcareous, with mica, pyrite, shell fragments and lignite. This description is generally valid also in the eastern and southern parts of the Fiskebank Sub-Basin, as illustrated by the Norwegian well 10/5-1 (Conoco) from 1396 m to 1472.5 m, (Fig 3.39). Further to the west a gradual change in lithology can be observed. The amount of carbonaceous material in the upper claystones increases, Norwegian well 9/12-1 (Shell), from 2011 m to 2038 m (Olsen, 1980) resulting in the transition to the Tau Formation in the Fiskebank Sub-Basin and in the Egersund Sub-Basin. The lower part of the Børglum unit as observed in the eastern areas is probably equivalent to the silty Egersund Formation in the north-west.
It is therefore recommended that the Danish nomenclature (the Børglum Member) should be applied in the south-eastern Norwegian Danish Basin and that the Norwegian nomenclature should be applied in the north-western area. 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=21,21,15
BÅT GP,GROUP,,"Båt Group

 Name 
Norwegian name for boat. The Båt Group comprises the lower and middle parts of the earlier used informal Halten Group (H1). 
Type area 
The transition from the Halten Terrace to the Trøndelag Platform in Blocks 6507/11 and 6507/12.
The group's development is illustrated by the type section of its basal unit in well 6507/12-1 (Saga Petroleum), coordinates 65°07'01.62""N, 07°42'42.61""E from 2920 m to 2213 m (Fig 4.7). and in the reference well 6407/1-2 (Statoil), coordinates 64°47'50.61""N, 07°02'23.76""E from 4548 m to 3907 m (Fig 4.8). 
Thickness 
707 m in well 6507/12-1 and 641 m in well 6407/1-2. 
Lithology 
The Båt Group consists of alternating sandstone and shale/siltstone units, with sandstone as the dominant lithology. 
Basal Stratotype 
The base of the Båt Group is defined by the base of the Åre Formation as described herein. 
Lateral extent and variation 
The Båt Group is present in most of the wells drilled on Haltenbanken and Trænabanken, with maximum thicknesses in excess of 700 m. The upper part of the succession is progressively truncated towards the crestal part of the Nordland Ridge and the whole group is absent on the highest parts of the ridge. Shallow boreholes off the Trøndelag coast (Bugge et al. 1984) indicate that the Åre Formation may be absent and younger strata within the Båt Group onlap directly on Precambrian basement. 
Age 
Rhaetian to Toarcian. 
Depositional environment 
Shallow marine to deltaic environments dominated during deposition of the group. 
Correlation 
The group corresponds to the mid-Fruholmen to mid-Stø Formation sequence in the Realgrunnen Group1) of the Hammerfest Basin. The group is also partially equivalent to the Statfjord Formation and the Dunlin Group of the North Sea. 
Subdivision 
The group comprises four formations (Fig 4.7 , 4.8) 4.8) all of which are defined herein. 
Source 
Dalland, A., Worsley, D. and Ofstad, K. (eds.) 1988: A lithostratigraphic scheme for the Mesozoic and Cenozoic succession offshore mid- and northern Norway. NPD-Bulletin No. 4, 65 pp. 
Footnotes 
1) Kapp Toscana Group according to Dallmann, W. K. (ed.) 1999: Lithostratigraphic lexicon of Svalbard. Review and recommendations for nomenclature use. Upper Palaeozoic to Quaternary Bedrock. Norwegian Polar Institute, 318 pp. 
Footnotes ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=22,22,
COOK FM,FORMATION,DUNLIN GP,"Cook Formation

 Name 
Named by Deegan and Scull (1977) who gave it ""sub-unit"" status. 
Well type section 
UK well 211/29-3 (Shell) from 2887 m to 2950.5 m, coord N 61°08'06"", E 01°43'36.5"" (Fig 3.10). 
Well reference sections 
Norwegian wells 33/9-1 (Mobil) from 2715 m to 2801 m, coord N 61°15'07.5"", E 01°50'25.8"" (Fig 3.11). 30/6-7 (Norsk Hydro) from 2975 m to 3023 m, coord N 60°38'39.49'' E 02°45'21.74"" (Fig 3.12). 31/2-1 (Shell) from 2093 m to 2134 m, coord N 60°46'19.16'' E 03°33'15.87"" (Fig 3.13). and 30/7-7 (Norsk Hydro) from 4735 m to 4801 m, coord N 60°16'19.30"" E 02°16'07.30"" (Fig 3.14). 
Thickness 
63.5 m in the type well, 86 m in 33/9-1, 66 m in 30/7-7, 48 m in 30/6-7 and 41 m in 31/2-1. 
Lithology 
In the type well section the formation is dominantly a marine siltstone with minor grey, silty claystone intercalations. The siltstones and claystones may contain sandy streaks, becoming more prominent away from the type well, especially in Norwegian waters. On the Horda Platform and along its western margin, sandstones are the dominant lithology in the formation. The sands are white to greyish brown, very fine to fine grained, subangular to subrounded and well sorted. Occasionally thin layers of medium to coarse grained sandstones are found. The sandstones are hard to friable. Silica is the most common cement. Mica, glauconite, carbonaceous material and calcareous cement may be present. 
Boundaries 
The formation can be distinguished from the more uniform and more argillaceous sediments above and below by a decrease in gamma ray response and an increase in velocity. 
Distribution 
The formation appears to be present throughout the East Shetland Basin and on the northern part of the Horda Platform. 
Age 
Pliensbachian to Toarcian. 
Depositional environment 
The sandstones can be divided into three types, related to depositional environment and basin geometry. In the Statfjord Field area the sandstones are believed to represent marine shoal sands (e.g. ref. well 33/9-1). On the Horda Platform and along its western margin the sandstones represent prograding shelf sands and several cycles can be identified within the formation (ref. 31/2-1 and 30/6-1). In the graben area the sands are thinner bedded, and the shale intercalations show no gradations into the sands (ref. 30/7-7). These sandstones are believed to represent redeposited sands from the edge of the shelf (the Horda Platform and East Shetland Basin west of the graben area). 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=24,24,29
CROMER KNOLL GP,GROUP,,"Cromer Knoll Group

 Name 
From the Cromer Knoll buoy in the southern North Sea. Named by Rhys (1974) in the southern North Sea and extended in use to the northern North Sea by Deegan and Scull (1977). The group as now used off mid-Norway corresponds to the informal Finnvær Group (H3). 
Type area 
The type area is in the southern North Sea. Rhys (1974) used UK well 48/22-2 to illustrate a typical section of the group, and Deegan & Scull (1977) used UK wells 29/25-1, 22/1-2A and 3/29-1, and Norwegian well 2/11-1. In the North Sea the following Norwegian wells have been used to illustrate local developments of the group: 2/6-2, 2/7-15, 2/11-1, 7/3-1, 17/11-2, 34/10-18, 35/3-4, 35/3-5, 31/6-3, 24/12-2 and 17/4-1; the Danish well DK1-1 has also been used.

In the Norwegian Sea the following wells are used to illustrate the local development of the group: 6506/12-4 (Statoil), coordinates 65°12'46.97""N, 06°43'30.37""E, from 3855 m to 3132.5 m and 6506/12-1 (Statoil) coordinates 65°10'07.58""N, 06°43'44.07""E, from 3835 m to 3175 m (Fig 4.25 , 4.26) The base of the Lyr Formation marks the lower boundary of the Cromer Knoll Group on Halten Terrace. In basinal areas to the west the Lange Formation is expected to rest directly on shales of the Viking Group (Fig 4.5) (Fig 4.6). 
Thickness 
The thickness of the group varies considerably since the sediments were deposited in response to an active Late Jurassic tectonic phase. In the Viking Graben, the Åsta Graben and locally in the Central Trough the thickness is often more than 600 m, gradually thinning towards the basin margins. The group is 667 m thick in Norwegian well 2/11-1 and 643 m thick in Norwegian well 17/11-1. Seismic data indicate that the group is thickest in the Sogn Graben, where it probably reaches up to 1400 m. In the Norwegian Sea 722.5 m are recorded in well 6506/12-4 and 660 m in well 6506/12-1. 
Lithology 
The Cromer Knoll Group consists mainly of fine-grained, argillaceous, marine sediments with a varying content of calcareous material. Calcareous claystones, siltstones and marlstones dominate, but subordinate layers of limestone and sandstone occur. The claystones are generally light to dark grey, olive-grey, greenish and brownish, often becoming light grey, light greenish-grey and light olive-grey marlstones. Mica, pyrite and glauconite are common. Generally, marlstones become the more dominant lithology in both the upper and lower parts of the group. On Haltenbanken, the group consists of calcareous and non-calcareous claystones inter-bedded with marls and stringers of carbonates and sandstones. Sandstones are more common in the upper part of the group. 
Basal stratotype 
The lower boundary is usually well defined and is recognised by a distinct decrease in gamma-ray response and an increase in velocity when passing upward from the generally more organic-rich shales of the underlying Upper Jurassic formations (Fig 5.12, 5.13 , 5.14 and 5.22) 
Characteristics of the upper boundary 
South of approximately 59° N (Fig 5.32ab), the upper boundary is the base of the chalk facies of the Shetland Group, defined by the onset of a decrease in gamma-ray response and an increase in velocity into the overlying carbonates (Fig 5.12 , 5.13 ,5.14 ,5.15 and 5.22 , 5.23 , 5.24 , 5.25 , 5.26 , 5.27 , 5.28) . The uppermost Rødby Formation of the Cromer Knoll Group often appears on logs as a transition between the overlying carbonates of the Shetland Group and the more argillaceous parts of the Cromer Knoll Group (Fig 5.12, 5.22). Further north, the upper boundary is the base of the siliclastic facies of the Shetland Group (Fig 5.32ab). This boundary is normally also shown by a decrease in gamma-ray response and an increase in velocity when passing into the overlying, generally more calcareous, Svarte Formation of the Shetland Group (Fig 5.33 , 5.36) However, the opposite log response at the boundary is also observed (Fig 5.37). 
Distribution 
The group is widely distributed in the Norwegian sector of the North Sea. It is absent from the highest parts of the Mandal High, Jæren High, Utsira High and Lomre Terrace in the Troll area and locally from the Tampen Spur (Fig 5.7 , 5.8 , 5.9 , 5.10 , 5.11) . The group's representatives are found throughout the Halten Terrace and in basinal areas to the west. There is little lateral variation apart from a gradual increase in sandstone content to the north. The sequence is generally several hundred metres thick on the Halten Terrace and within the Helgoland Basin, but it is much thinner and locally absent on the Trøndelag Platform. The group is not preserved on parts of the Nordland Ridge nor on local highs along the western flank of the Trøndelag Platform. 
Age 
Ryazanian (usually late) to Albian/Early Cenomanian (Noth Sea). Ryazanian to Turonian (Norwegian Sea). 
Depositional environment 
Open marine, with generally low energy (North Sea). The sediments were deposited in shallow to deep marine environments (Norwegian Sea). 
Subdivision 
Six formations are defined within the group in the Norwegian sector of the North Sea (Fig 5.7 , 5.8 , 5.9 , 5.10 , 5.11) : the Åsgard, Tuxen (Jensen et al. 1986), Mime, Sola (Hamar & Hesjedal 1983; Jensen et al. 1986), Rødby and Agat formations. In addition we recognise a need to introduce the Ran sandstone units (Fig 5.7 , 5.8 , 5.9 , 5.10 , 5.11). Fig 5.4 shows an idealised development of the Cromer Knoll Group in the northern and central North Sea. In the Norwegian Sea the Cromer Knoll Group comprises three formations in the area (Fig 4.25 , 4.26) : Lyr, Lange and Lysing formations. 
Remarks 
The group was erected by Rhys (1974) to embrace three marine, arenaceous, argillaceous to marly formations of mainly Early Cretaceous age recognisable onshore and offshore. Deegan & Scull (1977) formally defined the group to include the sediments between the underlying Humber Group and Bream Formation and the overlying Shetland and Chalk groups. Vollset & Doré (1984) replaced the Humber Group of the northern North Sea by the Viking Group, and the Bream Formation in the Central Trough and the Norwegian-Danish Basin by the Tyne and Boknfjorden groups, respectively. The tops of the Draupne Formation of the Viking Group, the Mandal Formation of the Tyne Group and the Flekkefjord Formation of the Boknfjorden Group define the base of the Cromer Knoll Group. The Cromer Knoll Group is partly equivalent to the Rijnland Group of the Dutch sector (NAM & RGD 1980, Crittenden 1982) and the Speeton Clay Formation together with the Red Chalk Formation of the UK sector (Rhys 1974). The subdivision in this paper can be used for the Danish sector (see also Jensen et al. 1986). 
Compiled from 
Dalland, A., Worsley, D. and Ofstad, K. (eds.) 1988: A lithostratigraphic scheme for the Mesozoic and Cenozoic succession offshore mid- and northern Norway. NPD-Bulletin No. 4, 65 pp. 
Isaksen, D. and Tonstad, K. (eds.) 1989: A revised Cretaceous and Tertiary lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 5, 59 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=23,23,
DELFIN FM (INFORMAL),FORMATION,SHETLAND GP,"Delfin Formation (informal)

 The Delfin Formation has been encountered in several wells in the northern Vøring Basin. It comprises sandstones of Early Campanian and Late Santonian age and is interpreted as a basin floor fan intercalated into shales of the Nise Formation. Wells show thicknesses of up to more than 1000 metres of good sandstone. The development of the Delfin Formation is illustrated by well 6707/10-1. Well 6704/12-1 is situated in a partly different sub-basin. The sandstones encountered in this well are derived from a slightly different source area.
The Delfin Formation is named informally, no well type nor well reference sections have been established. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=204,204,143
DRAKE FM,FORMATION,DUNLIN GP,"Drake Formation

 Name 
Named by Deegan and Scull (1977) who gave it ""sub-unit"" status. 
Well type section 
UK well 211/29-3 (Shell) from 2829 m to 2887 m, coord N 61°08'06"", E 01°43'36.5"" (Fig 3.10). 
Well reference sections 
Norwegian wells 33/9-1 (Mobil) from 2668 m to 2715 m, coord N 61°15'07.5"", E 01°50'25.8"" (Fig 3.11). 30/6-7 (Norsk Hydro) from 2786 m to 2975 m, coord N 60°38' 39.49'', E 02°45'21.74"" (Fig 3.12). 31/2-1 (Shell) from 1985 m to 2093 m, coord N 60°46'19.16"", E 03°33'15.87"" (Fig 3.13). 25/2-4 (Elf) from 3876 m to 3895 m, coord N 59°58'44.09"", E 02°22'58.88"" (Fig 3.15). 
Thickness 
58 m in the type well, 47 m in 33/9-1, 189 m in 30/6-7, 108 m in 31/2-1 and 19 m in 25/2-4. 
Lithology 
In the type well the lower part of the formation consists of medium grey, slightly sandy, calcareous claystone. The upper part is dark grey to black, fissile, micaceous shale containing calcareous nodules. On the Horda Platform and along its western margin white to grey, fine to coarse sandstones are found within the formation. The sandstones are often hard and calcite cemented. They also show and ""upward coarsening"" on the gamma ray log. The claystone is often silty. 
Boundaries 
In the basinal areas, where the sandstones are not present, the formation has more regular gamma ray and sonic log responses than that of the underlying formation, the gamma ray response being uniformly higher and the velocity lower. The lower velocity is also apparent where sandstone beds are present. The upper boundary is marked by the presence of arenaceous sediments of the overlying Brent Group, and the upper boundary is placed at the base of the upward coarsening sequence of the Rannoch Formation of the Brent Group. The Brent Group shows a more erratic sonic log pattern than the Drake Formation. In the south the top of the formation is marked by an unconformity (e.g. well 25/2-4, (Fig 3.15). In the northernmost area where the Brent Group is not recognised, the Dunlin Group is often unconformably overlain by the Viking Group. 
Distribution 
The formation is widely distributed throughout the East Shetland Basin and northern Horda Platform. It thins towards the west and south, where it may be absent due to erosion. The sand developments within the formation seem to be a function of marginal position within of the basin. 
Age 
Toarcian to Bajocian. 
Depositional environment 
The Drake Formation is generally considered to have been deposited in prodelta and delta front environments. 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=27,27,29
DRAUPNE FM,FORMATION,VIKING GP,"Draupne Formation

 Name 
From a gold ring owned by Odin (the mythologic Viking God) which ""dripped"" 7 new rings, of the same weight as the original, every 9th day. The name is considered particularly appropriate in view of the Draupne Formation's role as a prolific hydrocarbon source in the Northern North Sea. It replaces the name ""Kimmeridge Clay Formation"" as used by Deegan and Scull (1977) in the Northern North Sea (see remarks). 
Well type section 
Norwegian well 30/6-5 (Norsk Hydro) from 2452 m to 2615 m, coord N 60°41 '20.6"", E 02°57'11.09"", (Fig 3.22). 
Well reference sections 
UK wells 211/21-1A (Shell) from 2729.5 m to 2810 m, coord N 61°11'09.6"", E 01°06'45"", (Fig 3.18). and 210/30-1 (Arpet), from 3330 m to 3717.5 m, coord N 61°04'05.4"", E 00°54'14.4'', (Fig 3.20). 
Norwegian wells 33/9-1 (Mobil) from 2443 m to 2450 m, coord N 61°15'07.5"", E 01°50'25.8"", (Fig 3.11). 15/9-2 (Statoil) from 3397 m to 3478 m, coord. N 58°25'34.06"", E 01°42'28.2"", (Fig 3.26). and 15/3-1 S (Elf) from 3947 m to 4754 m, coord N 58°50'57.00"", E01°43'13.25"", (Fig 3.19). 
Thickness 
163 m in the type well, 80,5 m in 211/21-1A, 387,5 m in 210/30-1, 7 m in 33/9-1, 81 m in 15/9-2 and 807 m in 15/3-1 S. 
Lithology 
The formation consists of dark grey-brown to black, usually non-calcareous, carbonaceous, occasionally fissile claystone. It is characterized by very high radioactivity (often above 100 API units) which is a function of organic carbon content. It has anomalously low velocity, density and high resistivity. Minor limestone streaks and concretions occur throughout the formation. In addition interbedded sandstones and siltstones can cause a reduction in gamma ray response. The reference well 15/3-1 S is an atypical example of the Draupne Formation which has been chosen to illustrate these arenaceous intercalations.
An informal three-fold subdivision has been identified, and is best recognizable along the basin rim areas where a middle high gamma ray zone separates two zones of lower gamma ray response (e.g. 210/30-1). 
Boundaries 
These are marked by distinct log breaks due to the very high gamma ray response and low velocity shown by the Draupne Formation.
In basinal areas the formation generally has a diachronous contact with the Heather Formation. On marginal highs the formation onlaps pre-Upper Jurassic rocks. On the northern Horda Platform, Upper Jurassic sandstones of the Sognefjord Formation mark the base of the Draupne Formation.
The upper boundary is often an unconformity or discontinuity, usually overlain by Cretaceous sediments which have a higher velocity and lower gamma ray response than the Draupne Formation. The importance and regional validity of this unconformity is under debate; see for example Rawson and Riley (1982). 
Distribution 
The formation is found in the East Shetland Basin, the Viking Graben and over the Horda Platform. 
Age 
The formation ranges from Oxfordian to Ryazanian in age. 
Depositional environment 
The Draupne Formation was deposited in a marine environment with restricted bottom circulation and often with anaerobic conditions. In places the formation may contain sandstones which are generally considered to be of turbiditic origin (De`Ath and Schuyleman, 1981; Harms et al, 1981). 
Remarks 
The Norwegian Lithostratigraphic Nomenclature Committee formally proposes abandonment of the name ""Kimmeridge Clay Formation"" for Upper Jurassic claystones encountered north of the Mid-North Sea High. The committee further recommends substitution of the names ""Mandal Formation"" (in the Central Graben area) and ""Draupne Formation"" (in the Northern North Sea) for intervals formerly termed Kimmeridge Clay Formation in those areas. The principal reasons for this revision are: 
distance from type area 
change in meaning of the term ""Kimmeridge Clay Formation"" from area to area 
The type area for the Kimmeridge Clay Formation is Kimmeridge Bay in Dorset, southern England (e.g. Arkell 1947). There the unit consists of dark, organic-rich claystones of Kimme-ridgian to Volgian age (using Boreal stage terminology). The term was extended by Rhys (1974 and 1975) into the Southern North Sea to describe a unit of comparable age overlying Oxfordian limestones (Corallian Formation) in type well 47/15-1. Deegan and Scull (1977) further extended the Kimmeridge Clay into the Northern North Sea to denote a generally highly radioactive, generally low velocity claystone sequence. The age range of the formation was broadened to include part of the Oxfordian and Ryazanian. It was remarked that the sediments in the Southern North Sea were less radioactive (less than 60 A.P.I, units compared with 100-200 A.P.I, units in the north). However, the low seismic velocities shown by both units were considered sufficient grounds to justify a correlation.
Deegan and Scull did not specifically discuss the application of the term ""Kimmeridge Clay"" to the Central Graben region of the Central North Sea. Nevertheless, the name is in common usage there (e.g. Ofstad, 1983). It has, among other meanings, been taken to denote: 
all claystones of Upper Jurassic age regardless of log character, or more usually 
only the upper, most highly radioactive claystone unit of Volgian-Ryazanian age 
To the northwest, in the Norwegian-Danish Basin, a similar deposit is present (the Tau Formation, described in this publication). This unit has never been referred to the Kimmeridge Clay Formation but is nevertheless a typical Upper Jurassic organic shale. It is of Kimmeridgian — Volgian age and occupies a lower relative position in the overall Upper Jurassic shale sequence than the Central Graben ""hot shales"". (Table 3.4). A connection between the two deposits across the Southern Vestland Arch is most unlikely.
In extending the Kimmeridge Clay Formation from the type area to the Northern North Sea (a distance of approximately 1300 km) the stratigraphic meaning of the name has varied considerably (Table 3.5). It is recognised that deposits of this type were laid down over a very wide area in intervals of the late Jurassic, the widespread deoxygenated bottom conditions reflecting the combined effect of paleo-geography with general sea level rise (e.g. Tyson et al., 1979; Ziegler 1982). However, acceptance of this overall regime should not alone be taken as a basis for lithostratigraphic classification. The nature and timing of the organic shales appears to have varied according to the evolution of individual basins. Use of the generic term Kimmeridge Clay Formation is a potential cause of mistaken correlation and does not further understanding of inter-basin relationships. Replacement of the name is a more palatable alternative to its continued extension northwards to the Arctic and Russia, where alternative nomenclature already exists.
It therefore seems appropriate to limit the ""Kimmeridge Clay Formation"" of the North Sea to to the area south of the Mid-North Sea High, as described by Rhys (1974). The Norwegian Lithostratigraphic Nomenclature Committee proposes substitution of the name ""Draupne Formation"" for the ""Kimmeridge Clay Formation"" of the Northern North Sea as defined by De-egan and Schull (1977). It is suggested that the name ""Mandal Formation"" should be applied specifically to the ""hot"" shales of Volgian — Ryazanian age in the Central Graben region (Table 4), following the precedent set by Hamar et al., (1982). 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=28,28,188
DUNLIN GP,GROUP,,"Dunlin Group

 Name 
Named by Deegan and Scull (1977). According to earlier Norwegian usage the unit had formation status, and the type well was UK well 211/29-3. In this report the unit is given group status in Norwegian as well as UK usage. 
Type area 
The type area is the East Shetland Basin, in particular the region of the Brent Field. The group is illustrated in the following wells: UK well 211/29-3 (Shell), Norwegian wells 33/9-1 (Mobil), 30/6-7 (Norsk Hydro), 31/2-1 (Shell) and 25/2-4 (Elf). 
Thickness 
222 m in the UK well 211/29-3, 255 m, 365.5 m, 308 m and 204 m in Norwegian wells 33/9-1 (Mobil), 30/6-7 (Norsk Hydro), 31/2-1 (Shell) and 25/2-4 (Elf) respectively. The group is thickest in the northern Viking Graben area. 
Lithology 
The group consists mainly of dark to black argillaceous marine sediments, but in the marginal areas of the basin marine sandstones are well developed at several stratigraphic levels and can extend a considerable distance into the basin. The sandstones are white to light grey, very fine to medium grained and generally well sorted. The group tends to be more calcareous in the Norwegian sector, and in places limestone beds, some of which contain chamosite and siderite ooliths, are found. 
Boundaries 
The lower boundary with the Statfjord Group and the upper boundary with the Brent Group are clearly marked by gamma ray log breaks. The Dunlin Group generally has a more regular log character than the underlying and overlying sediments. In the northernmost area where the Brent Group is not recognised, the Dunlin Group is often unconformably overlain by the Viking Group. 
Distribution 
The group is more widespread than the underlying Statfjord Group and is thickest in the Viking Graben area, east of the Statfjord and Brent fields. It is recognizable over most of the East Shetland Basin and northern part of the Horda Platform. In places the Dunlin Group rests with an apparent unconformity on the Statfjord Group. In the western part of the basin higher formations within the group are thought to be transgressive onto pre- Statfjord Group sediments. Variation in thickness on tilted fault blocks probably reflects syndepositional movement. 
Age 
The group ranges from Hettangian to Bajocian in age. 
Subdivisions 
The Dunlin Group is divided into five formations. These are named the Amundsen (base), Johansen, Burton, Cook and Drake (top) formations and can be clearly differentiated on sonic and gamma ray logs. The Amundsen, Cook and Drake formations are found throughout the East Shetland Basin. The Burton Formation is found over most of the area but is not present on the Horda Platform. The Johansen Formation, on the other hand, has so far only been found on the Horda Platform. It should be stressed that the upper part of the calcareous sands in the Statfjord Group passes laterally into the lower part of the calcareous silts and shales of the Amundsen Formation in the central parts of the basin. 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Groups&nav3=29,29,
EGERSUND FM,FORMATION,BOKNFJORD GP,"Egersund Formation

 Name 
Named by Deegan and Scull (1977) who gave the unit member status. 
Well type section 
Norwegian well 9/4-1 (Amoseas) from 2251 m to 2288 m, coord N 57°35'02"", E 04°01'13"" (Fig 3.34). 
Well reference section 
17/12-1 R (Phillips) from 2215 m to 2290 m, coord N 58° 11' 15.4'', E 03°56'22.2'' (Fig 3.35). 
Thickness 
37 m in the type well and 75 m in the reference well. 
Lithology 
In the type well the formation consists of dark grey micromicaceous shales and siltstones with brownish, locally oolitic, microcrystalline carbonate beds and occasionally sandstone streaks. The latter become more important east and north-east of the type well. 
Boundaries 
The lower boundary is also the junction of the Boknfjord Group with the Vestland Group and is described above. At the base of the formation a more radioactive part is recognizable in several wells. The upper boundary is marked by the appearance of the dark grey to black organic-rich shales of the overlying Tau Formation. The shales of the Tau Formation have a high radioactivity and a low velocity, and therefore the upper boundary is marked by strong log breaks. 
Distribution 
The formation is distributed throughout Fiskebank and Egersund Sub-Basins. 
Age 
Callovian to Kimmeridgian. 
Depositional environment 
The Egersund Formation was deposited in an open marine, generally low energy basinal environment. 
Source 
Vollset, J. and Doré, A. G. (eds.) 1984: A revised Triassic and Jurassic lithostratigraphic nomenclature for the Norwegian North Sea. NPD-Bulletin No. 3, 53 pp. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=30,30,15
EGGA FM (INFORMAL),FORMATION,ROGALAND GP,"Egga Formation (informal)

 The Egga Formation (also referred to as Egga Member or Egga sandstone unit) has been encountered in a number of wells in the Møre Basin and Slørebotn Sub-basin. It comprises sandstones of Danian age and is interpreted as deepmarine massflow deposits. The development of the Egga Formation is illustrated by well 6305/7-1. Wells on the Ormen Lange Field where it is the main reservoir unit have shown thicknesses of 40 to 80 m, while wells further east and south have encountered thicker sand-rich intervals. The Egga Formation is named informally, no well type nor well reference sections have been established. ",https://factpages.sodir.no/factpages/default.aspx?nav1=strat&nav2=PageView|Litho|Formations&nav3=31,31,131
